Recency,Frequency,Monetary,Quantity,Ø_Price,∃_items,%_Cancelled,Ø_Qty,Ø_InvoiceQty,Average_Price,Ø_basket,Country,Flag
588,3,2799.7200000000003,1765,2.5232203389830508,107,0.0,13.85,630.042372881356,2.74,25.77,Switzerland,🇨🇭
561,1,1407.7,787,4.402073170731708,82,0.0,11.02,787.0,3.38,17.17,Switzerland,🇨🇭
534,2,767.98,408,2.948780487804878,37,0.0,9.93,209.0,2.9,20.42,Belgium,🇧🇪
662,10,5167.4400000000005,2199,22.033370786516855,119,0.0,11.75,583.6966292134831,15.12,29.58,Belgium,🇧🇪
351,1,600.72,754,1.3251351351351353,37,0.0,15.29,754.0,3.09,16.24,Belgium,🇧🇪
378,2,1923.4,611,3.852272727272727,65,0.0,9.26,602.7121212121212,3.85,29.82,Belgium,🇧🇪
366,1,258.90000000000003,214,2.72625,8,0.0,35.4,214.0,2.39,32.36,Australia,🇦🇺
414,1,143.94,134,2.7622222222222224,9,0.0,14.89,134.0,2.76,15.99,Australia,🇦🇺
581,2,1120.45,539,2.9269565217391307,36,0.0,13.71,269.04347826086956,2.82,17.75,Australia,🇦🇺
655,3,1433.33,614,2.6542857142857144,41,0.0,12.53,253.6326530612245,2.65,27.48,Australia,🇦🇺
662,6,2259.58,903,4.480888888888889,159,0.0,4.38,243.74444444444444,3.78,15.49,Cyprus,🇨🇾
590,1,234.75000000000003,73,5.035714285714286,7,0.0,10.43,73.0,5.04,33.54,Australia,🇦🇺
427,3,794.15,489,2.872916666666667,38,0.0,11.65,244.8125,2.53,18.99,Australia,🇦🇺
602,5,2382.46,1840,3.0626495726495726,94,0.0,13.06,469.05128205128204,3.6,21.64,Belgium,🇧🇪
673,1,931.4300000000001,591,2.2993846153846156,65,0.0,9.09,591.0,2.3,14.33,RSA,🇿🇦
644,3,853.65,1020,1.9568627450980391,40,0.0,19.98,362.3529411764706,2.04,13.73,Belgium,🇧🇪
413,1,205.25,91,2.9136363636363636,11,0.0,8.27,91.0,2.91,18.66,Australia,🇦🇺
670,6,1018.5500000000001,489,3.4650000000000003,40,0.0,8.21,103.95,3.44,17.43,Belgium,🇧🇪
521,1,591.6600000000001,164,7.1325,4,0.0,25.9,164.0,8.19,147.92,Denmark,🇩🇰
696,4,2791.46,1574,2.685,44,0.0,19.9,513.8064516129032,2.78,35.25,Denmark,🇩🇰
497,5,1437.07,787,3.079824561403509,41,0.0,12.86,319.56140350877195,3.11,19.41,Belgium,🇧🇪
564,6,12033.54,7484,3.022974683544304,125,0.0,47.89,3691.7974683544303,3.23,78.19,Switzerland,🇨🇭
501,1,320.38,130,5.4192857142857145,14,0.0,8.07,130.0,6.02,22.88,Switzerland,🇨🇭
409,1,346.9,138,3.3954545454545455,22,0.0,6.27,138.0,3.4,15.77,Australia,🇦🇺
538,5,1354.15,1162,2.4552857142857145,50,0.0,15.2,441.84285714285716,2.58,21.64,Denmark,🇩🇰
401,1,241.35,33,9.13076923076923,13,0.0,5.94,33.0,6.21,18.57,Spain,🇪🇸
463,5,130.0,1,25.109473684210524,9,0.0,8.14,0.05263157894736842,17.06,16.25,Austria,🇦🇹
527,7,19543.84,14073,3.075566037735849,169,0.0,92.24,6313.254716981132,3.18,26.74,Australia,🇦🇺
656,1,202.56,132,1.5345454545454544,11,0.0,12.0,132.0,1.53,18.41,Australia,🇦🇺
733,16,3401.25,1391,5.66901554404145,150,0.0,7.55,138.25906735751295,5.5,17.17,Belgium,🇧🇪
629,4,1348.37,680,3.2505797101449274,61,0.0,10.55,239.05797101449275,3.35,14.33,Switzerland,🇨🇭
413,2,503.01,231,5.0436000000000005,23,0.0,9.24,171.0,5.04,16.15,Spain,🇪🇸
504,3,286.56,164,5.14095238095238,18,0.0,9.66,111.23809523809524,4.66,19.45,Spain,🇪🇸
721,18,3315.79,2221,19.83846715328467,109,0.0,14.72,238.24087591240877,16.16,15.0,Australia,🇦🇺
465,3,1001.01,642,3.001428571428572,51,0.0,10.73,252.10714285714286,2.96,22.98,Denmark,🇩🇰
731,5,1528.82,1275,2.0758208955223885,61,42.85714285714285,20.77,699.6119402985074,2.29,-10.5,Australia,🇦🇺
447,2,903.61,607,2.3028813559322034,55,0.0,11.61,603.8813559322034,2.4,17.53,Portugal,🇵🇹
662,2,728.6800000000001,319,3.436923076923077,47,0.0,7.04,293.9807692307692,3.62,16.22,Germany,🇩🇪
371,2,246.55,70,5.226923076923077,10,0.0,6.74,58.69230769230769,4.6,30.35,Germany,🇩🇪
545,6,3685.11,1667,2.9238961038961038,70,0.0,17.99,462.23376623376623,3.15,59.6,Denmark,🇩🇰
693,17,4651.22,1929,3.883956043956044,133,0.0,11.42,269.6263736263736,3.77,18.86,Belgium,🇧🇪
476,6,7052.99,6044,2.538885017421603,164,0.0,24.17,1408.6898954703834,2.52,19.05,Norway,🇳🇴
380,2,269.54,125,3.5204347826086955,20,0.0,6.91,118.30434782608695,3.6,14.86,Australia,🇦🇺
736,4,6096.04,2903,2.9001315789473683,68,0.0,44.27,899.0526315789474,3.73,1008.0,Denmark,🇩🇰
736,28,7498.1900000000005,5013,3.126256544502618,216,0.0,13.6,519.4162303664922,3.44,21.42,France,🇫🇷
725,3,1089.18,448,3.633918918918919,69,0.0,6.05,404.3243243243243,3.63,15.92,Cyprus,🇨🇾
717,3,768.15,308,5.422571428571429,21,0.0,8.8,174.9142857142857,5.42,27.07,Austria,🇦🇹
366,1,173.55,121,3.700909090909091,11,0.0,11.0,121.0,3.7,15.78,France,🇫🇷
731,1,485.31,182,5.87047619047619,21,0.0,8.67,182.0,5.87,23.11,Norway,🇳🇴
420,2,293.08000000000004,142,2.837619047619048,20,0.0,8.16,137.04761904761904,3.66,15.08,Spain,🇪🇸
438,2,768.6,729,2.693,10,0.0,11.35,652.1,3.64,75.4,Denmark,🇩🇰
473,5,469.07,307,2.423125,25,0.0,10.88,103.34375,2.26,13.49,Spain,🇪🇸
528,4,3613.01,2771,2.270880503144654,147,0.0,17.95,1484.9559748427673,2.39,19.38,Switzerland,🇨🇭
420,6,4318.96,2233,8.219756097560975,9,0.0,31.0,435.5365853658537,8.08,591.69,Spain,🇪🇸
721,4,3413.09,1213,4.402262773722628,121,0.0,14.55,415.8759124087591,3.92,18.39,Cyprus,🇨🇾
434,2,554.53,243,6.7312,22,0.0,10.09,219.92,5.6,28.76,Switzerland,🇨🇭
487,2,830.09,480,3.6663043478260873,44,0.0,11.74,234.2608695652174,3.96,19.03,Switzerland,🇨🇭
604,1,454.36,258,4.148695652173913,23,0.0,11.22,258.0,4.15,19.75,Spain,🇪🇸
455,1,326.65,170,4.381111111111111,18,0.0,9.44,170.0,4.38,18.15,Belgium,🇧🇪
422,2,0.0,0,1.6177777777777778,9,0.0,0.0,0.0,1.62,14.76,USA,🇺🇸
689,7,2900.51,1820,2.5831707317073174,105,50.0,13.4,662.569105691057,2.8,-2.8,Germany,🇩🇪
536,2,3070.54,2552,2.999605263157895,76,0.0,33.58,721.8947368421053,3.0,195.68,Thailand,🇹🇭
736,85,22694.71,9957,3.564432748538012,169,38.75968992248062,12.69,302.39181286549706,3.88,-10.2,Germany,🇩🇪
730,26,10727.210000000001,6890,2.3661550151975685,315,48.648648648648646,10.34,619.2537993920972,2.39,-20.26,Germany,🇩🇪
666,25,4849.9800000000005,3033,3.1473289902280133,197,0.0,10.23,317.3452768729642,3.0,12.21,Germany,🇩🇪
409,1,426.26,236,3.3136,25,0.0,12.64,236.0,3.09,17.05,Germany,🇩🇪
501,21,7125.09,3196,4.221809210526316,225,0.0,9.85,514.5394736842105,4.54,18.11,Germany,🇩🇪
622,3,7056.63,2466,3.955378787878788,209,0.0,10.64,823.9318181818181,4.16,19.25,Germany,🇩🇪
506,4,2153.4700000000003,1240,3.5383516483516484,79,0.0,12.03,401.4175824175824,3.28,16.74,Germany,🇩🇪
606,9,7258.13,4059,4.684338624338625,144,0.0,18.28,1050.5291005291006,3.92,59.39,Germany,🇩🇪
653,32,21893.53,27039,18.471642512077295,42,0.0,130.62,1192.1400966183576,18.47,160.59,Sweden,🇸🇪
676,14,2496.34,1036,8.506212121212121,35,0.0,14.51,117.89393939393939,7.11,43.1,Sweden,🇸🇪
736,8,1806.93,1074,2.963233082706767,112,25.0,6.78,439.6616541353383,3.12,-1.68,Spain,🇪🇸
528,1,708.1,414,2.4105882352941173,34,0.0,12.18,414.0,2.41,20.83,Sweden,🇸🇪
431,1,1037.28,523,4.103673469387755,49,0.0,10.67,523.0,4.1,21.17,Sweden,🇸🇪
730,2,259.8,144,1.6166666666666665,3,50.0,48.0,106.0,1.62,-25.5,Sweden,🇸🇪
737,12,4400.71,2838,3.040091743119266,117,0.0,12.75,290.58256880733944,2.86,28.76,France,🇫🇷
402,1,452.0,252,3.1818181818181817,22,0.0,10.57,252.0,3.26,20.55,Germany,🇩🇪
575,8,595.32,268,4.1034146341463416,29,0.0,8.0,117.85365853658537,4.05,17.24,France,🇫🇷
640,2,323.4,126,6.0,17,0.0,6.63,115.89473684210526,6.0,21.02,Sweden,🇸🇪
619,2,45.34,30,1.927,10,0.0,3.0,26.2,1.93,4.9,Spain,🇪🇸
644,2,5205.400000000001,4449,1.816046511627907,30,0.0,98.0,2503.186046511628,2.48,71.28,Germany,🇩🇪
559,1,393.72,302,2.3296296296296295,27,0.0,11.19,302.0,2.33,14.58,Germany,🇩🇪
672,12,1666.04,689,4.02923076923077,62,0.0,21.54,88.92307692307692,4.8,19.46,Germany,🇩🇪
583,1,1126.0,561,115.8,2,0.0,186.67,561.0,452.53,563.0,Spain,🇪🇸
596,2,297.0,368,4.054545454545455,8,0.0,16.12,178.27272727272728,7.17,22.4,Germany,🇩🇪
408,2,912.5,314,4.451086956521739,42,0.0,6.66,294.95652173913044,4.45,22.74,Italy,🇮🇹
584,1,539.25,362,3.539285714285714,28,0.0,24.63,362.0,4.03,19.26,Spain,🇪🇸
734,14,2706.76,1665,26.761487603305785,85,0.0,13.1,390.43801652892563,21.94,25.64,Spain,🇪🇸
428,2,3065.77,1748,3.447577319587629,190,0.0,9.01,1716.7525773195875,3.45,16.23,Greece,🇬🇷
641,1,580.08,400,1.7969696969696969,33,0.0,10.0,400.0,2.71,17.58,Italy,🇮🇹
352,1,383.7,131,6.78125,16,0.0,8.19,131.0,6.78,23.98,Italy,🇮🇹
598,2,1336.56,1077,1.9652083333333332,38,0.0,26.38,537.3958333333334,2.23,27.58,Germany,🇩🇪
476,2,354.35,205,3.2762499999999997,22,0.0,9.27,193.75,3.2,17.53,Germany,🇩🇪
737,17,2455.48,1375,4.230714285714286,105,23.33333333333333,8.47,148.24025974025975,4.62,-14.48,France,🇫🇷
668,10,6605.64,3474,3.5675510204081635,65,0.0,29.64,450.8979591836735,3.18,79.84,Germany,🇩🇪
735,8,835.1800000000001,487,3.694285714285714,56,62.5,6.32,162.2077922077922,3.69,-15.25,France,🇫🇷
528,2,386.8,292,2.1571428571428575,13,0.0,16.44,262.57142857142856,2.59,23.22,Germany,🇩🇪
527,2,311.78000000000003,190,2.9808695652173913,21,0.0,8.26,175.1304347826087,2.98,15.07,France,🇫🇷
641,7,2066.23,1798,3.1101063829787234,66,0.0,16.65,375.48936170212767,3.44,21.0,Germany,🇩🇪
685,2,1773.83,1059,2.3926724137931035,110,0.0,8.3,1017.6724137931035,2.57,16.44,Germany,🇩🇪
738,6,1149.99,568,3.318,63,0.0,6.31,294.47777777777776,3.32,21.13,Germany,🇩🇪
408,1,732.94,449,2.9227906976744187,43,0.0,10.44,449.0,2.92,17.05,Sweden,🇸🇪
377,1,276.5,145,4.128461538461538,13,0.0,9.88,145.0,3.83,21.27,Spain,🇪🇸
715,3,5646.400000000001,2468,3.305108225108225,127,0.0,8.98,988.8051948051948,7.17,24.91,Spain,🇪🇸
731,18,9679.26,4632,4.089299363057325,174,0.0,14.21,386.52547770700636,3.95,58.94,Spain,🇪🇸
639,4,423.38,514,3.149777777777778,39,0.0,11.42,247.88888888888889,3.15,14.59,Spain,🇪🇸
447,1,980.25,688,2.6132558139534883,43,0.0,16.0,688.0,2.61,22.8,Spain,🇪🇸
499,1,175.78,175,3.082307692307692,13,0.0,14.71,175.0,4.94,13.52,Spain,🇪🇸
697,6,1575.68,1366,1.6487755102040815,38,0.0,27.88,356.18367346938777,1.65,22.69,USA,🇺🇸
357,1,168.0,100,1.6800000000000002,10,0.0,10.0,100.0,1.68,16.8,Spain,🇪🇸
422,3,896.57,358,4.758541666666667,39,0.0,9.35,176.45833333333334,3.47,21.52,France,🇫🇷
448,1,468.5,240,3.8242307692307693,26,0.0,9.23,240.0,3.82,18.02,Spain,🇪🇸
722,4,6725.18,2398,2.1692,15,0.0,120.42,723.68,2.23,650.88,Spain,🇪🇸
434,2,1185.18,548,3.5992307692307692,33,0.0,11.24,272.46153846153845,3.27,21.3,France,🇫🇷
408,1,249.24,113,3.921538461538461,13,0.0,8.69,113.0,3.92,19.17,Italy,🇮🇹
666,8,4278.88,1775,4.19451282051282,146,0.0,8.85,353.1589743589744,3.5,19.34,France,🇫🇷
644,1,70.0,48,6.234,5,0.0,9.6,48.0,6.23,14.0,Germany,🇩🇪
464,4,556.87,395,2.2493406593406595,83,0.0,4.03,113.17582417582418,2.21,16.89,France,🇫🇷
526,2,622.82,315,3.5702631578947375,34,0.0,8.29,157.60526315789474,3.57,14.86,France,🇫🇷
525,5,776.89,515,3.0410344827586204,51,0.0,10.06,168.93103448275863,2.66,17.85,Poland,🇵🇱
735,6,1186.3899999999999,856,1.8084931506849315,195,0.0,3.96,189.10045662100455,1.81,16.2,France,🇫🇷
443,3,1819.0900000000001,1163,2.993114754098361,53,0.0,12.9,593.327868852459,3.07,25.95,Italy,🇮🇹
576,1,637.2,331,2.606176470588235,34,0.0,9.81,331.0,2.61,18.74,Germany,🇩🇪
577,2,1469.04,685,3.481728395061728,79,0.0,9.56,350.98765432098764,3.86,15.79,Finland,🇫🇮
733,14,7157.56,3923,3.1185454545454547,87,0.0,18.81,336.15909090909093,3.15,35.54,France,🇫🇷
350,1,1262.85,872,2.8266153846153843,65,0.0,12.97,872.0,3.5,19.43,Germany,🇩🇪
722,4,1848.73,606,5.283571428571428,76,0.0,7.21,206.64285714285714,5.16,22.23,Italy,🇮🇹
597,4,724.0799999999999,381,6.432105263157895,27,0.0,9.04,177.18421052631578,7.09,19.35,Finland,🇫🇮
689,9,2447.49,1063,15.190790960451977,100,0.0,6.46,224.4463276836158,13.43,16.64,France,🇫🇷
606,2,-7.9,-2,3.95,2,60.0,59.4,-1.0,10.09,-2.95,Germany,🇩🇪
408,2,886.1,425,4.775,38,0.0,9.6,345.45238095238096,4.39,18.51,Italy,🇮🇹
518,6,715.02,1582,34.05878787878788,32,0.0,22.29,743.969696969697,27.47,23.07,Germany,🇩🇪
645,6,1724.29,967,3.0799999999999996,60,0.0,13.58,188.89156626506025,3.12,12.84,Italy,🇮🇹
504,1,299.02,271,3.1905263157894734,19,0.0,14.26,271.0,3.19,15.74,Germany,🇩🇪
648,6,1411.99,900,2.736666666666667,69,0.0,13.46,424.46153846153845,2.79,17.01,France,🇫🇷
577,6,1264.14,1233,2.5822535211267605,37,0.0,16.46,287.32394366197184,2.78,18.5,France,🇫🇷
731,15,2591.4300000000003,675,6.291282051282051,33,0.0,9.96,64.3076923076923,6.03,57.18,Germany,🇩🇪
404,1,104.2,45,8.158333333333333,6,0.0,8.26,45.0,6.82,17.37,Germany,🇩🇪
457,5,1225.45,925,2.207974683544304,63,0.0,11.71,326.2278481012658,2.21,18.36,Germany,🇩🇪
404,1,415.79,323,1.6275,16,0.0,20.19,323.0,1.63,25.99,United Kingdom,🇬🇧
718,7,2291.01,904,4.288362068965517,84,0.0,8.82,158.8706896551724,4.03,19.45,Germany,🇩🇪
724,7,3354.84,2441,3.0144262295081967,133,0.0,11.67,583.7049180327868,2.97,21.5,Germany,🇩🇪
738,7,3273.69,1919,3.2701156069364163,148,27.27272727272728,11.85,550.1618497109827,3.2,-5.95,France,🇫🇷
388,2,388.1,208,3.7347826086956517,22,0.0,8.15,204.43478260869566,3.93,18.99,France,🇫🇷
559,1,140.14,140,2.548,10,0.0,33.28,140.0,10.06,14.01,Germany,🇩🇪
668,24,11874.73,6792,3.361842900302115,170,0.0,17.68,443.20543806646526,3.06,15.25,Germany,🇩🇪
696,8,3334.7400000000002,1775,3.177151898734177,109,0.0,11.17,430.126582278481,3.12,26.33,Germany,🇩🇪
596,2,2481.06,1697,2.43,85,0.0,17.41,918.7525773195877,2.37,25.52,Germany,🇩🇪
422,2,1558.22,722,3.997777777777778,40,0.0,16.04,362.3333333333333,4.0,35.22,Sweden,🇸🇪
692,6,2811.77,1357,2.8249677419354837,105,0.0,8.56,354.23870967741937,3.11,23.07,Finland,🇫🇮
564,4,738.88,668,2.596578947368421,32,0.0,17.58,311.1842105263158,2.6,28.17,Germany,🇩🇪
525,5,3454.58,2058,3.1114761904761905,182,0.0,10.25,1046.1095238095238,3.13,16.42,Germany,🇩🇪
547,2,490.0,337,7.777500000000001,20,0.0,16.85,319.25,7.78,18.95,USA,🇺🇸
456,2,1241.23,777,2.795512820512821,77,0.0,10.89,427.34615384615387,2.64,14.93,Germany,🇩🇪
738,1,141.0,1,141.0,1,0.0,1.0,1.0,141.0,141.0,USA,🇺🇸
542,4,2280.91,1263,2.324956896551724,162,0.0,6.87,299.32758620689657,2.56,18.86,France,🇫🇷
639,1,249.8,86,6.888888888888889,9,0.0,13.81,86.0,3.37,27.76,Sweden,🇸🇪
627,2,826.27,430,4.237857142857143,39,0.0,9.86,235.0,4.47,16.91,Sweden,🇸🇪
610,8,4490.66,2549,8.03483870967742,14,0.0,79.22,683.4516129032259,6.79,245.91,France,🇫🇷
693,5,1337.63,676,3.587173913043478,76,0.0,8.14,263.44565217391306,3.39,16.8,Germany,🇩🇪
668,5,1743.72,1017,2.5898876404494384,72,0.0,12.82,255.76404494382024,2.59,17.79,Germany,🇩🇪
694,36,14200.52,5465,4.692142857142857,219,0.0,12.21,263.33116883116884,4.74,38.43,Germany,🇩🇪
700,4,778.95,354,3.9393333333333334,32,0.0,7.79,144.64444444444445,3.7,18.7,Germany,🇩🇪
695,7,1634.99,1356,2.7105494505494505,75,0.0,15.92,325.9340659340659,2.71,19.14,Germany,🇩🇪
464,4,251.3,184,2.108695652173913,21,0.0,8.19,60.73913043478261,2.15,12.38,France,🇫🇷
433,1,97.05000000000001,31,5.0,3,0.0,9.87,31.0,2.95,32.35,Germany,🇩🇪
526,1,1950.98,762,2.9111627906976745,43,0.0,19.55,762.0,2.75,45.37,Israel,🇮🇱
423,1,261.35,80,5.490625,16,0.0,5.0,80.0,5.49,16.33,France,🇫🇷
562,4,2338.06,1133,3.3208943089430893,108,0.0,11.23,402.0813008130081,3.92,18.17,France,🇫🇷
435,1,162.0,216,0.8772727272727273,11,0.0,19.64,216.0,0.88,14.73,Sweden,🇸🇪
617,11,3132.09,1520,3.533798882681564,94,0.0,8.59,162.81005586592178,3.36,15.88,Germany,🇩🇪
667,3,204.0,169,5.577272727272727,9,0.0,15.36,77.72727272727273,5.58,21.96,Germany,🇩🇪
726,2,1188.16,292,12.7225,4,0.0,32.48,146.0,11.52,137.27,Finland,🇫🇮
668,3,239.7,121,4.061764705882353,13,0.0,7.48,52.76470588235294,4.32,21.1,Germany,🇩🇪
393,2,1020.98,314,3.857878787878788,31,0.0,9.52,344.1818181818182,3.86,40.27,Israel,🇮🇱
676,7,8045.75,3752,3.4712781954887215,234,0.0,9.23,776.3734335839599,3.47,17.73,Germany,🇩🇪
666,2,764.24,230,5.530869565217392,21,0.0,13.85,135.08695652173913,3.66,28.2,France,🇫🇷
605,1,2622.481,1460,2.7264666666666666,45,0.0,32.44,1460.0,2.73,58.28,Germany,🇩🇪
595,2,184.6,53,4.923333333333333,12,0.0,5.24,46.6,4.47,17.6,France,🇫🇷
401,1,619.5,349,3.0109375,32,0.0,9.46,349.0,2.96,19.36,Germany,🇩🇪
577,4,933.55,334,3.9431578947368418,111,0.0,2.93,326.17543859649123,3.94,8.51,Italy,🇮🇹
482,6,1441.7,1195,4.432380952380952,47,0.0,17.27,395.23809523809524,5.51,22.53,Sweden,🇸🇪
731,3,389.3,174,3.9543478260869565,14,33.333333333333336,7.57,81.8695652173913,3.95,-2.9,France,🇫🇷
700,12,16484.15,11360,4.1572146118721465,142,0.0,58.35,2860.8630136986303,4.78,56.06,France,🇫🇷
725,31,17958.760000000002,10586,2.842916201117318,348,0.0,11.64,528.545251396648,3.01,22.06,France,🇫🇷
738,24,11657.59,5434,3.4686653771760154,210,0.0,10.6,274.0696324951644,3.63,22.44,France,🇫🇷
725,9,4197.51,2694,3.0110552763819096,143,0.0,13.67,439.8793969849246,2.88,17.22,France,🇫🇷
371,1,89.14,107,3.2585714285714285,7,0.0,15.29,107.0,3.26,12.73,France,🇫🇷
480,2,2138.91,1403,4.4835714285714285,126,0.0,11.13,1390.8809523809523,4.48,280.0,Sweden,🇸🇪
420,2,314.6,116,5.920833333333333,9,0.0,11.41,56.833333333333336,5.09,19.23,France,🇫🇷
636,1,110.95,36,3.123076923076923,13,0.0,2.77,36.0,3.12,8.53,France,🇫🇷
521,5,809.46,274,4.745238095238095,35,0.0,6.31,157.3095238095238,5.12,19.31,Germany,🇩🇪
420,2,969.78,844,2.103617021276596,46,0.0,16.11,827.9574468085107,2.9,21.17,France,🇫🇷
664,3,825.02,234,5.8909375,28,0.0,7.69,111.0625,5.39,27.43,France,🇫🇷
508,2,851.91,564,3.293673469387755,43,0.0,11.26,293.14285714285717,4.24,15.1,Finland,🇫🇮
589,1,339.75,111,5.1,16,0.0,6.94,111.0,5.1,21.23,Germany,🇩🇪
417,1,638.11,373,3.111219512195122,41,0.0,9.1,373.0,3.11,15.56,Germany,🇩🇪
632,4,1648.7,1049,2.916914893617021,80,0.0,11.75,312.20212765957444,2.98,15.64,Germany,🇩🇪
684,5,617.48,378,3.2825806451612904,44,0.0,6.42,224.25806451612902,3.12,13.94,Germany,🇩🇪
736,9,5597.76,3532,2.4745129870129867,215,36.36363636363637,11.35,787.1980519480519,2.61,-13.83,Germany,🇩🇪
721,15,2501.84,1196,4.053333333333334,80,0.0,7.38,132.38888888888889,4.14,14.68,Germany,🇩🇪
729,30,21478.04,10028,4.024746268656716,153,0.0,23.47,882.6089552238806,3.99,216.0,Germany,🇩🇪
676,2,1339.05,770,2.579333333333333,56,0.0,12.83,390.1333333333333,2.58,19.62,Germany,🇩🇪
730,14,2738.03,1257,4.218421052631579,100,0.0,7.91,128.85526315789474,5.39,15.9,Germany,🇩🇪
735,7,9384.85,5705,2.671395881006865,324,0.0,12.61,932.6796338672768,2.57,23.54,France,🇫🇷
589,1,277.93,94,5.961875,16,0.0,8.32,94.0,5.59,17.37,Greece,🇬🇷
506,15,2500.34,1809,2.907842105263158,136,0.0,11.81,393.4736842105263,2.78,14.46,Germany,🇩🇪
471,5,1564.3,806,4.083142857142858,83,0.0,10.5,271.42857142857144,3.44,17.89,France,🇫🇷
534,3,1286.11,934,2.890263157894737,66,0.0,10.69,323.88157894736844,3.23,16.33,France,🇫🇷
583,4,2266.76,1142,5.955943396226416,92,0.0,10.77,436.9811320754717,5.96,21.47,Italy,🇮🇹
623,5,1575.78,1808,2.501803278688525,32,0.0,25.8,421.327868852459,2.19,38.14,France,🇫🇷
654,3,1698.8300000000002,734,3.423125,44,0.0,13.75,266.234375,3.34,25.31,France,🇫🇷
383,1,233.84,124,3.9679999999999995,15,0.0,8.9,124.0,4.5,15.59,France,🇫🇷
521,1,829.25,234,4.915957446808511,47,0.0,4.98,234.0,4.92,17.64,Germany,🇩🇪
647,6,7951.7,3622,3.4668888888888887,73,0.0,29.22,724.8740740740741,3.38,49.28,France,🇫🇷
688,5,1942.8700000000001,748,3.635071428571429,106,0.0,5.46,287.15714285714284,3.6,15.92,USA,🇺🇸
391,3,639.65,265,3.836315789473684,17,0.0,13.95,88.78947368421052,3.84,26.07,France,🇫🇷
498,2,3710.5,2,1855.25,2,0.0,1.0,1.0,1855.25,100.0,France,🇫🇷
371,1,155.35,148,3.95,11,0.0,13.45,148.0,3.95,14.12,Germany,🇩🇪
393,2,1713.69,465,11.266666666666667,51,0.0,10.69,444.921568627451,8.17,29.5,United Arab Emirates,🇦🇪
532,2,406.07,214,12.220625,16,0.0,13.38,199.75,12.22,15.74,USA,🇺🇸
625,2,1185.02,1349,1.7077941176470588,67,0.0,19.84,1338.8676470588234,1.71,17.93,United Arab Emirates,🇦🇪
590,4,4037.77,1753,3.1838461538461535,110,0.0,20.19,686.5299145299145,73.65,34.8,Singapore,🇸🇬
573,2,723.85,467,3.0900000000000003,20,0.0,20.35,230.36363636363637,11.72,45.69,United Kingdom,🇬🇧
730,3,230.85,91,3.6975000000000002,18,66.66666666666667,4.55,82.05,3.7,-5.95,United Kingdom,🇬🇧
731,23,5296.79,1553,4.42603550295858,68,0.0,10.18,98.46153846153847,4.45,31.72,United Kingdom,🇬🇧
734,177,22274.78,14113,3.810392156862745,1421,0.0,5.27,216.15721288515405,3.66,6.22,United Kingdom,🇬🇧
